DATA_START,,
time,0,
necessary,2,
get_item,LOOGER,1,0
pay_item,COAL_MINER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,LOOGER,1,0
pay_item,ENGINEER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,LOOGER,1,0
pay_item,FARMER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,LOOGER,1,0
pay_item,FARMER_COTTON,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,COAL_MINER,1,0
pay_item,LOOGER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,COAL_MINER,1,0
pay_item,ENGINEER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,COAL_MINER,1,0
pay_item,FARMER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,COAL_MINER,1,0
pay_item,FARMER_COTTON,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,ENGINEER,1,0
pay_item,LOOGER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,ENGINEER,1,0
pay_item,COAL_MINER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,ENGINEER,1,0
pay_item,FARMER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,ENGINEER,1,0
pay_item,FARMER_COTTON,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,FARMER,1,0
pay_item,LOOGER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,FARMER,1,0
pay_item,COAL_MINER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,FARMER,1,0
pay_item,ENGINEER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,FARMER,1,0
pay_item,FARMER_COTTON,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,FARMER_COTTON,1,0
pay_item,LOOGER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,FARMER_COTTON,1,0
pay_item,COAL_MINER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,FARMER_COTTON,1,0
pay_item,ENGINEER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,FARMER_COTTON,1,0
pay_item,FARMER,-1,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,LOOGER,0,1
pay_item,LOOGER,-2,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,COAL_MINER,0,1
pay_item,COAL_MINER,-2,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,ENGINEER,0,1
pay_item,ENGINEER,-2,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,FARMER,0,1
pay_item,FARMER,-2,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,FARMER_COTTON,0,1
pay_item,FARMER_COTTON,-2,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,WOOD,10,0
pay_item,ORE,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,WOOD,10,0
pay_item,PARTS,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,WOOD,10,0
pay_item,WHEAT,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,WOOD,10,0
pay_item,COTTON,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,ORE,10,0
pay_item,WOOD,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,ORE,10,0
pay_item,PARTS,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,ORE,10,0
pay_item,WHEAT,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,ORE,10,0
pay_item,COTTON,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,PARTS,10,0
pay_item,WOOD,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,PARTS,10,0
pay_item,ORE,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,PARTS,10,0
pay_item,WHEAT,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,PARTS,10,0
pay_item,COTTON,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,WHEAT,10,0
pay_item,WOOD,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,WHEAT,10,0
pay_item,ORE,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,WHEAT,10,0
pay_item,PARTS,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,WHEAT,10,0
pay_item,COTTON,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,COTTON,10,0
pay_item,WOOD,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,COTTON,10,0
pay_item,ORE,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,COTTON,10,0
pay_item,PARTS,-10,0
DATA_END,,
,,
DATA_START,,
time,0,
necessary,2,
get_item,COTTON,10,0
pay_item,WHEAT,-10,0
DATA_END,,
